id,county,state,stateab,prez,obamapct,romneypct,age,kids,seniors,hhincome,hhsize,hhoccupied,gradHS,gradColl,gradGrad,whiteperc,blackperc,hispperc,foreign,majMin,minPop,urbanrural,,gradCollONLY
1001,Autauga,Alabama,Ala.,R,0.265423602,0.724940558,37,0.065,0.123,53682,2.71,0.768,0.342,0.209,0.072,0.765,0.182,0.025,0.016,n,23.5,U,,0.137
1003,Baldwin,Alabama,Ala.,R,0.215508065,0.772198243,41.2,0.061,0.169,50221,2.52,0.726,0.292,0.277,0.09,0.834,0.094,0.044,0.036,n,16.6,U,,0.187
1005,Barbour,Alabama,Ala.,O,0.513328124,0.481896327,38.2,0.057,0.146,32911,2.66,0.677,0.329,0.134,0.053,0.463,0.463,0.049,0.029,y,53.7,R,,0.081
1007,Bibb,Alabama,Ala.,R,0.26152019,0.728266033,39.4,0.058,0.129,36447,3.03,0.79,0.408,0.121,0.038,0.749,0.217,0.019,0.012,n,25.1,U,,0.083
1009,Blount,Alabama,Ala.,R,0.123441397,0.862718204,39.1,0.063,0.149,44145,2.7,0.81,0.347,0.121,0.041,0.884,0.014,0.083,0.043,n,11.6,U,,0.08
1011,Bullock,Alabama,Ala.,O,0.763059,0.235062007,40.7,0.062,0.139,32033,2.73,0.743,0.339,0.125,0.074,0.222,0.709,0.057,0.054,y,77.8,R,,0.051
1013,Butler,Alabama,Ala.,R,0.460324142,0.535360977,40.3,0.062,0.168,29918,2.47,0.703,0.37,0.14,0.052,0.539,0.438,0.011,0.008,n,46.1,R,,0.088
1015,Calhoun,Alabama,Ala.,R,0.334548356,0.65304978,38.7,0.061,0.146,39962,2.54,0.687,0.329,0.161,0.059,0.735,0.206,0.034,0.024,n,26.5,U,,0.101
1017,Chambers,Alabama,Ala.,R,0.469683505,0.521293321,41.4,0.06,0.168,32402,2.46,0.679,0.359,0.118,0.04,0.58,0.402,0.005,0.011,n,42,S,,0.078
1019,Cherokee,Alabama,Ala.,R,0.217728758,0.766544118,44.3,0.055,0.181,34907,2.2,0.761,0.347,0.128,0.053,0.92,0.047,0.014,0.007,n,8,R,,0.075
1021,Chilton,Alabama,Ala.,R,0.194280812,0.796797255,37.6,0.069,0.137,41250,2.67,0.745,0.401,0.129,0.047,0.81,0.098,0.077,0.052,n,19,U,,0.082
1023,Choctaw,Alabama,Ala.,R,0.474674022,0.520561685,44,0.055,0.186,33941,2.45,0.837,0.373,0.118,0.044,0.556,0.428,0.003,0.003,n,44.4,R,,0.074
1025,Clarke,Alabama,Ala.,R,0.456998557,0.538961039,39.9,0.059,0.161,29357,2.63,0.729,0.421,0.112,0.043,0.537,0.443,0.005,0.003,n,46.3,R,,0.069
1027,Clay,Alabama,Ala.,R,0.266057793,0.721215751,41.7,0.059,0.178,34002,2.38,0.75,0.376,0.092,0.032,0.801,0.153,0.03,0.022,n,19.9,R,,0.06
1029,Cleburne,Alabama,Ala.,R,0.153663554,0.834309226,41.2,0.064,0.162,38019,2.64,0.776,0.393,0.09,0.045,0.928,0.035,0.021,0.015,n,7.2,R,,0.045
1031,Coffee,Alabama,Ala.,R,0.248473841,0.739922305,37.8,0.068,0.146,43768,2.65,0.699,0.295,0.225,0.082,0.72,0.168,0.064,0.051,n,28,S,,0.143
1033,Colbert,Alabama,Ala.,R,0.390974236,0.594437809,41.7,0.057,0.174,39077,2.42,0.721,0.346,0.177,0.063,0.793,0.162,0.022,0.02,n,20.7,U,,0.114
1035,Conecuh,Alabama,Ala.,O,0.506049822,0.489537367,43.3,0.058,0.183,24658,2.61,0.791,0.436,0.088,0.044,0.511,0.447,0.015,0.006,n,48.9,R,,0.044
1037,Coosa,Alabama,Ala.,R,0.414804998,0.577243468,44.4,0.048,0.171,37277,2.42,0.83,0.427,0.098,0.044,0.658,0.306,0.02,0.018,n,34.2,S,,0.054
1039,Covington,Alabama,Ala.,R,0.204546927,0.787162381,42.5,0.06,0.188,35869,2.48,0.751,0.343,0.142,0.049,0.838,0.126,0.014,0.014,n,16.2,R,,0.093
1041,Crenshaw,Alabama,Ala.,R,0.319115816,0.674190535,40.3,0.065,0.159,36275,2.46,0.699,0.38,0.127,0.046,0.71,0.227,0.017,0.023,n,29,R,,0.081
1043,Cullman,Alabama,Ala.,R,0.146201707,0.839212849,40.1,0.061,0.161,38847,2.53,0.75,0.317,0.148,0.056,0.925,0.01,0.043,0.03,n,7.5,S,,0.092
1045,Dale,Alabama,Ala.,R,0.28417827,0.704693296,36,0.073,0.137,44889,2.52,0.611,0.308,0.17,0.057,0.705,0.19,0.057,0.037,n,29.5,S,,0.113
1047,Dallas,Alabama,Ala.,O,0.697004388,0.299942759,37.3,0.073,0.141,26519,2.63,0.609,0.358,0.142,0.053,0.288,0.687,0.008,0.008,y,71.2,S,,0.089
1049,DeKalb,Alabama,Ala.,R,0.21874739,0.765386221,37.9,0.07,0.14,37851,2.82,0.763,0.35,0.107,0.043,0.813,0.016,0.138,0.075,n,18.7,R,,0.064
1051,Elmore,Alabama,Ala.,R,0.251898948,0.738564114,37.7,0.061,0.12,54766,2.62,0.755,0.341,0.21,0.075,0.743,0.203,0.027,0.021,n,25.7,U,,0.135
1053,Escambia,Alabama,Ala.,R,0.368537666,0.62353968,38.7,0.061,0.151,30687,2.59,0.725,0.365,0.117,0.039,0.611,0.323,0.02,0.006,n,38.9,R,,0.078
1055,Etowah,Alabama,Ala.,R,0.300370683,0.683417793,40.2,0.059,0.159,38013,2.55,0.724,0.327,0.148,0.052,0.79,0.152,0.035,0.022,n,21,U,,0.096
1057,Fayette,Alabama,Ala.,R,0.228323699,0.760743906,43.1,0.055,0.182,33838,2.41,0.749,0.391,0.132,0.062,0.856,0.114,0.013,0.006,n,14.4,R,,0.07
1059,Franklin,Alabama,Ala.,R,0.29142542,0.695432405,38.3,0.071,0.149,36415,2.52,0.695,0.332,0.11,0.034,0.794,0.042,0.151,0.084,n,20.6,R,,0.077
1061,Geneva,Alabama,Ala.,R,0.179948813,0.809725532,42.2,0.058,0.176,35625,2.43,0.721,0.382,0.104,0.028,0.844,0.094,0.034,0.018,n,15.6,U,,0.075
1063,Greene,Alabama,Ala.,O,0.846153846,0.15047726,41.4,0.061,0.161,24226,2.72,0.732,0.394,0.128,0.04,0.177,0.808,0.005,0.002,y,82.3,R,,0.088
1065,Hale,Alabama,Ala.,O,0.625766162,0.371227015,40.4,0.059,0.152,30051,2.56,0.78,0.412,0.128,0.038,0.398,0.59,0.003,0.012,y,60.2,U,,0.09
1067,Henry,Alabama,Ala.,R,0.351699749,0.64202601,42.9,0.055,0.181,41650,2.44,0.777,0.351,0.166,0.069,0.679,0.274,0.024,0.029,n,32.1,U,,0.097
1069,Houston,Alabama,Ala.,R,0.294564596,0.697170351,38.3,0.066,0.145,40948,2.58,0.646,0.34,0.197,0.07,0.682,0.256,0.031,0.024,n,31.8,U,,0.126
1071,Jackson,Alabama,Ala.,R,0.282183017,0.699835207,41.4,0.056,0.165,37634,2.53,0.752,0.373,0.13,0.053,0.899,0.033,0.026,0.022,n,10.1,S,,0.078
1073,Jefferson,Alabama,Ala.,O,0.525004679,0.465262066,37,0.067,0.132,45429,2.48,0.647,0.266,0.3,0.116,0.514,0.421,0.038,0.041,n,48.6,U,,0.184
1075,Lamar,Alabama,Ala.,R,0.229375697,0.760451505,42.6,0.058,0.188,36028,2.32,0.715,0.381,0.095,0.035,0.86,0.117,0.013,0.006,n,14,R,,0.061
